country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sri Lanka,3610,3730,3850,4080,4270,4460,4600,4870,5070,5260,5540,5420,5590,5870,6140,6470,6910,7330,7710,7930,8500
St. Kitts and Nevis,15500,15100,15700,16600,17200,18000,18800,19900,19700,20100,22000,22900,23200,22100,22700,24600,25100,24900,26300,25200,24600
St. Lucia,9630,9530,10200,10100,10100,10200,10400,10100,10600,10800,10700,10200,10200,10500,11200,11100,11600,11700,12100,11800,11700
St. Vincent and the Grenadines,5580,5630,5970,6220,6150,6620,6710,6950,7240,7440,7560,7680,8160,8760,9110,9330,10000,10400,10600,10400,10000
Sudan,1760,1850,1920,1950,1920,1980,2050,2200,2240,2240,2320,2400,2490,2610,2630,2750,2950,3190,3350,3370,3400
Suriname,10400,10500,10300,9490,9650,9500,9460,9870,9970,9720,9800,10100,10300,10800,11600,11900,12500,13000,13300,13600,14100
Swaziland,5630,5580,5610,5650,5660,5810,5920,5990,6040,6130,6170,6180,6420,6640,6860,7240,7630,7920,7930,8000,8240
Sweden,31000,30400,29900,29100,30100,31100,31500,32400,33800,35300,36900,37400,38000,38800,40300,41300,43000,44100,43500,40900,43000
Switzerland,48200,47100,46600,46100,46300,46300,46300,47300,48500,49100,50800,51100,50800,50500,51500,52800,54500,56300,56800,54800,55900
Syria,4220,4540,5000,5220,5360,5500,5510,5300,5440,5140,5130,5210,5420,5220,5460,5650,5750,5860,5920,6120,6290
Tajikistan,3660,3330,2320,1910,1480,1280,1050,1050,1090,1110,1190,1280,1390,1520,1640,1720,1810,1910,2020,2050,2140
Tanzania,1550,1530,1480,1450,1430,1440,1460,1480,1500,1530,1570,1620,1690,1750,1830,1910,1980,2050,2110,2160,2230
Thailand,6650,7140,7640,8190,8770,9390,9810,9420,8600,8890,9190,9420,9920,10500,11100,11500,12000,12600,12800,12600,13500
Timor-Leste,2590,2780,2960,3160,3380,3660,4070,4310,4310,2810,3270,3500,3180,3060,4900,6500,9020,9310,10000,9280,9010
Togo,1300,1260,1180,985,1110,1160,1230,1370,1290,1280,1240,1180,1140,1170,1160,1150,1160,1160,1170,1200,1240
Tonga,3580,3800,3800,3940,4130,4270,4260,4240,4330,4480,4610,4750,4880,4960,4910,4950,4880,4630,4740,4820,4990
Trinidad and Tobago,10900,11200,12200,12100,12500,12900,13800,14800,15900,17200,18300,19000,20500,23300,25000,26400,29800,31100,32000,30400,31300
Tunisia,5610,5700,6010,6020,6090,6120,6460,6720,6960,7300,7570,7790,7830,8130,8570,8800,9180,9690,10000,10200,10400
Turkey,11400,11300,11700,12400,11600,12300,13000,13800,13900,13200,13900,12800,13500,14000,15200,16300,17300,17900,17800,16800,18000
Turkmenistan,8320,7710,6370,6290,5070,4600,4820,4200,4440,5110,5330,5510,5470,5590,5810,6500,7130,7820,8850,9250,9940
Tuvalu,2380,2430,2480,2560,2800,2650,2480,2730,3150,3100,3050,3070,3280,3120,3040,2880,2910,3070,3280,3100,2990
Uganda,773,789,789,827,853,922,976,997,1020,1070,1070,1090,1150,1180,1220,1260,1350,1420,1500,1550,1590
Ukraine,10500,9560,8610,7380,5720,5060,4590,4500,4450,4490,4800,5290,5630,6210,7020,7280,7870,8520,8770,7510,7820
